Auftragskonto,Buchungstag,Valutadatum,Buchungstext,Verwendungszweck,Glaeubiger ID,Mandatsreferenz,Kundenreferenz (End-to-End),Sammlerreferenz,Lastschrift Ursprungsbetrag,Auslagenersatz Ruecklastschrift,Beguenstigter/Zahlungspflichtiger,Kontonummer/IBAN,BIC (SWIFT-Code),Betrag,Waehrung,Info
DE71234567891234567891,31.01.23,31.01.23,FOLGELASTSCHRIFT,Netflix Monthly Subscription ,123,asdfasdfasdf1,qwertz1,asdf1,,,NETFLIX SERVICES GERMANY GMBH                                       ,123123123,456456456,"-12,99",EUR,Umsatz gebucht
DE1,30.01.23,30.01.23,LOHN  GEHALT,LOHN / GEHALT ,124,asdfasdfasdf2,qwertz2,asdf2,,,Arbeit GmbH,123123124,456456457,2100,EUR,Umsatz gebucht
DE2,30.01.23,30.01.23,KARTENZAHLUNG,2023-01-27 Debitk.2 2025-12 ,125,asdfasdfasdf3,qwertz3,asdf3,,,DB AUTOMAT,123123125,456456458,-10,EUR,Umsatz gebucht
DE3,30.01.23,30.01.23,KARTENZAHLUNG,2023-01-27 Debitk.2 2025-12 ,126,asdfasdfasdf4,qwertz4,asdf4,,,SCHLOSS BURGER GMBH,123123126,456456459,-9,EUR,Umsatz gebucht
DE4,30.01.23,30.01.23,KARTENZAHLUNG,2023-01-28 Debitk.2 2025-12 ,127,asdfasdfasdf5,qwertz5,asdf5,,,LIDL DIENSTLEISTUNG GMBH UND CO KG,123123127,456456460,"-30,99",EUR,Umsatz gebucht
DE5,30.01.23,30.01.23,FOLGELASTSCHRIFT,"123456789951 PP.1234.PP . www.steampowered.com, Ihr Einkauf bei www.steampowered.com ",128,asdfasdfasdf6,qwertz6,asdf6,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123128,456456461,"-19,99",EUR,Umsatz gebucht
DE6,30.01.23,30.01.23,FOLGELASTSCHRIFT,123-1234567-1234567 AMZN Mktp DE AAAAAAAAAAAAAAAA ,129,asdfasdfasdf7,qwertz7,asdf7,,,AMAZON PAYMENTS EUROPE S.C.A.,123123129,456456462,"-55,95",EUR,Umsatz gebucht
DE7,30.01.23,30.01.23,FOLGELASTSCHRIFT,123-1234567-1234567 AMZN Mktp DE BBBBBBBBBBBBBBBB ,130,asdfasdfasdf8,qwertz8,asdf8,,,AMAZON PAYMENTS EUROPE S.C.A.,123123130,456456463,-200,EUR,Umsatz gebucht
DE8,30.01.23,30.01.23,FOLGELASTSCHRIFT,123-1234567-1234568 AMZN Mktp DE CCCCCCCCCCCCCCCC ,131,asdfasdfasdf9,qwertz9,asdf9,,,AMAZON PAYMENTS EUROPE S.C.A.,123123131,456456464,"-99,95",EUR,Umsatz gebucht
DE10,27.01.23,27.01.23,FOLGELASTSCHRIFT,Kundennummer 12345678912/RG 1234567891,133,asdfasdfasdf11,qwertz11,asdf11,,,Handy Deutschland GmbH     ,123123133,456456466,-25,EUR,Umsatz gebucht
